"skills","demand_count"
"python","7"
"sql","7"
"excel","3"
"gcp","3"
"bigquery","2"
"aws","2"
"docker","2"
"power bi","1"
"powerpoint","1"
"pytorch","1"
"qlik","1"
"r","1"
"redshift","1"
"snowflake","1"
"spring","1"
